src,dst,path,latency_ms,energy_mJ,eav_BER,eav_success_prob,eav_detect_prob,intercepted
devA,devB,devA->devB,16,0.071044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,True
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,True
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,True
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,True
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,True
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,True
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,True
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,True
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,True
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,True
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
devA,devB,devA->devB,13,0.021044,0.9675,0.0325,0.125,False
